customer_id,customer_name,email,city,signup_date
C0001,Customer 1,customer1@example.com,,2024-04-05
C0002,Customer 2,customer2@example.com,Mumbai,2025-04-21
C0003,Customer 3,customer3@example.com,Pune,2025-07-23
C0004,Customer 4,customer4@example.com,Delhi,2025-07-23
C0005,Customer 5,customer5@example.com,Chennai,2024-04-03
C0006,Customer 6,customer6@example.com,,2024-03-15
C0007,Customer 7,CUSTOMER7@EXAMPLE.COM,Bangalore,2025-03-27
C0008,Customer 8,customer8@example.com,Hyderabad,2025-08-27
C0009,Customer 9,customer9@example.com,Bangalore,2024-09-10
C0010,Customer 10,customer10@example.com,Bangalore,2025-01-06
C0011,Customer 11,customer11@example.com,Mumbai,2025-05-30
C0012,Customer 12,customer12@example.com,Hyderabad,2024-05-25
C0013,Customer 13,customer13@example.com,Chennai,2024-05-05
C0014,Customer 14,CUSTOMER14@EXAMPLE.COM,Delhi,2025-09-15
C0015,Customer 15,customer15@example.com,Chennai,2025-06-30
C0016,Customer 16,customer16@example.com,,2024-09-15
C0017,Customer 17,customer17@example.com,Hyderabad,2024-11-04
C0018,Customer 18,customer18@example.com,Chennai,2025-03-12
C0019,Customer 19,customer19@example.com,Bangalore,2025-01-06
C0020,Customer 20,customer20@example.com,Delhi,2024-07-14
C0021,Customer 21,CUSTOMER21@EXAMPLE.COM,Delhi,2024-03-14
C0022,Customer 22,customer22@example.com,Hyderabad,2024-10-31
C0023,Customer 23,customer23@example.com,Delhi,2024-11-01
C0024,Customer 24,customer24@example.com,Bangalore,2024-12-06
C0025,Customer 25,customer25@example.com,Pune,2024-02-01
C0026,Customer 26,customer26@example.com,Bangalore,2024-06-28
C0027,Customer 27,customer27@example.com,Bangalore,2025-03-11
C0028,Customer 28,CUSTOMER28@EXAMPLE.COM,,2024-01-29
C0029,Customer 29,customer29@example.com,,2025-11-16
C0030,Customer 30,customer30@example.com,Pune,2025-10-03
C0031,Customer 31,customer31@example.com,Mumbai,2024-01-29
C0032,Customer 32,customer32@example.com,Pune,2024-01-11
C0033,Customer 33,customer33@example.com,Chennai,2025-11-12
C0034,Customer 34,customer34@example.com,Delhi,2024-05-16
C0035,Customer 35,CUSTOMER35@EXAMPLE.COM,Bangalore,2024-05-02
C0036,Customer 36,customer36@example.com,Mumbai,2025-07-24
C0037,Customer 37,customer37@example.com,,2025-07-20
C0038,Customer 38,customer38@example.com,Mumbai,2025-04-18
C0039,Customer 39,customer39@example.com,Delhi,2025-11-20
C0040,Customer 40,customer40@example.com,Bangalore,2025-02-02
C0041,Customer 41,customer41@example.com,Mumbai,2024-06-09
C0042,Customer 42,CUSTOMER42@EXAMPLE.COM,,2024-12-11
C0043,Customer 43,customer43@example.com,Chennai,2024-05-22
C0044,Customer 44,customer44@example.com,Pune,2025-08-18
C0045,Customer 45,customer45@example.com,Hyderabad,2025-11-26
C0046,Customer 46,customer46@example.com,,2024-08-09
C0047,Customer 47,customer47@example.com,Delhi,2024-12-12
C0048,Customer 48,customer48@example.com,Hyderabad,2025-02-09
C0049,Customer 49,CUSTOMER49@EXAMPLE.COM,Mumbai,2024-04-21
C0050,Customer 50,customer50@example.com,Bangalore,2025-04-28
C0051,Customer 51,customer51@example.com,Chennai,2024-05-13
C0052,Customer 52,customer52@example.com,,2024-10-04
C0053,Customer 53,customer53@example.com,Delhi,2024-08-17
C0054,Customer 54,customer54@example.com,,2024-07-04
C0055,Customer 55,customer55@example.com,Pune,2025-11-11
C0056,Customer 56,CUSTOMER56@EXAMPLE.COM,,2024-03-08
C0057,Customer 57,customer57@example.com,Hyderabad,2025-06-03
C0058,Customer 58,customer58@example.com,Hyderabad,2024-05-07
C0059,Customer 59,customer59@example.com,Hyderabad,2025-03-05
C0060,Customer 60,customer60@example.com,Mumbai,2024-09-11
C0061,Customer 61,customer61@example.com,Mumbai,2024-02-12
C0062,Customer 62,customer62@example.com,Mumbai,2024-04-17
C0063,Customer 63,CUSTOMER63@EXAMPLE.COM,Mumbai,2025-08-22
C0064,Customer 64,customer64@example.com,Hyderabad,2024-08-04
C0065,Customer 65,customer65@example.com,Delhi,2024-10-06
C0066,Customer 66,customer66@example.com,Pune,2024-11-09
C0067,Customer 67,customer67@example.com,,2025-08-03
C0068,Customer 68,customer68@example.com,Chennai,2024-03-24
C0069,Customer 69,customer69@example.com,Hyderabad,2025-09-01
C0070,Customer 70,CUSTOMER70@EXAMPLE.COM,Hyderabad,2024-07-15
C0071,Customer 71,customer71@example.com,Bangalore,2024-06-02
C0072,Customer 72,customer72@example.com,Hyderabad,2025-01-13
C0073,Customer 73,customer73@example.com,Mumbai,2025-04-21
C0074,Customer 74,customer74@example.com,Chennai,2024-07-10
C0075,Customer 75,customer75@example.com,Hyderabad,2025-08-17
C0076,Customer 76,customer76@example.com,Chennai,2025-07-22
C0077,Customer 77,CUSTOMER77@EXAMPLE.COM,Chennai,2024-01-13
C0078,Customer 78,customer78@example.com,Delhi,2025-06-25
C0079,Customer 79,customer79@example.com,Chennai,2024-08-23
C0080,Customer 80,customer80@example.com,Bangalore,2025-04-11
C0064,Customer 64,customer64@example.com,Hyderabad,2024-08-04
C0028,Customer 28,CUSTOMER28@EXAMPLE.COM,,2024-01-29
